state,isMetro,parent_count,child_count,needs_childcare,total_cost,median_family_income
1,False,1,0,0,34634.73,36420.4921875
1,False,1,1,1,47430.4368,36420.4921875
1,False,1,2,1,61435.4004,36420.4921875
1,False,1,3,1,73672.986,36420.4921875
1,False,1,4,1,79076.8356,36420.4921875
1,False,2,0,0,48376.2948,36420.4921875
1,False,2,1,1,60273.3516,36420.4921875
1,False,2,2,1,73531.8636,36420.4921875
1,False,2,3,1,84502.2888,36420.4921875
1,False,2,4,1,90199.5,36420.4921875
1,True,1,0,0,35533.2504,55549.234375
1,True,1,1,1,48393.6972,55549.234375
1,True,1,2,1,63782.1384,55549.234375
1,True,1,3,1,78485.76,55549.234375
1,True,1,4,1,84621.3276,55549.234375
1,True,2,0,0,48102.882,55549.234375
1,True,2,1,1,61539.0468,55549.234375
1,True,2,2,1,76142.3784,55549.234375
1,True,2,3,1,89243.5956,55549.234375
1,True,2,4,1,95616.1524,55549.234375
1,False,1,0,0,34995.3924,58535.24609375
1,False,1,1,1,48357.1464,58535.24609375
1,False,1,2,1,62983.1136,58535.24609375
1,False,1,3,1,77012.0856,58535.24609375
1,False,1,4,1,82940.1156,58535.24609375
1,False,2,0,0,49114.0836,58535.24609375
1,False,2,1,1,61838.9184,58535.24609375
1,False,2,2,1,75693.5508,58535.24609375
1,False,2,3,1,88211.8416,58535.24609375
1,False,2,4,1,95188.0776,58535.24609375
1,False,1,0,0,34375.254,56018.49609375
1,False,1,1,1,47097.6972,56018.49609375
1,False,1,2,1,61012.8276,56018.49609375
1,False,1,3,1,74615.6136,56018.49609375
1,False,1,4,1,79967.1156,56018.49609375
1,False,2,0,0,48072.864,56018.49609375
1,False,2,1,1,59923.5876,56018.49609375
1,False,2,2,1,73108.6644,56018.49609375
1,False,2,3,1,85409.73,56018.49609375
1,False,2,4,1,91013.022,56018.49609375
1,True,1,0,0,35845.728,55667.3203125
1,True,1,1,1,49938.9612,55667.3203125
1,True,1,2,1,66519.9252,55667.3203125
1,True,1,3,1,82448.226,55667.3203125
1,True,1,4,1,89489.0628,55667.3203125
1,True,2,0,0,50179.4124,55667.3203125
1,True,2,1,1,63657.0876,55667.3203125
1,True,2,2,1,79430.3028,55667.3203125
1,True,2,3,1,94359.3516,55667.3203125
1,True,2,4,1,100961.508,55667.3203125
1,True,1,0,0,40471.2828,70827.3828125
1,True,1,1,1,55498.6932,70827.3828125
1,True,1,2,1,74370.8676,70827.3828125
1,True,1,3,1,91799.3088,70827.3828125
1,True,1,4,1,98681.6724,70827.3828125
1,True,2,0,0,54790.3128,70827.3828125
1,True,2,1,1,70134.2172,70827.3828125
1,True,2,2,1,86990.1684,70827.3828125
1,True,2,3,1,102549.5748,70827.3828125
1,True,2,4,1,109767.996,70827.3828125
1,True,1,0,0,43964.742,98419.2265625
1,True,1,1,1,60915.1872,98419.2265625
1,True,1,2,1,81841.4592,98419.2265625
1,True,1,3,1,101722.8048,98419.2265625
1,True,1,4,1,108660.1284,98419.2265625
1,True,2,0,0,58586.7192,98419.2265625
1,True,2,1,1,75573.2868,98419.2265625
1,True,2,2,1,94008.7908,98419.2265625
1,True,2,3,1,112207.0308,98419.2265625
1,True,2,4,1,119430.1056,98419.2265625
1,False,1,0,0,36470.5896,45116.68359375
1,False,1,1,1,50430.7092,45116.68359375
1,False,1,2,1,65001.4452,45116.68359375
1,False,1,3,1,78283.524,45116.68359375
1,False,1,4,1,83759.994,45116.68359375
1,False,2,0,0,48830.7072,45116.68359375
1,False,2,1,1,63049.5408,45116.68359375
1,False,2,2,1,76887.3396,45116.68359375
1,False,2,3,1,88643.4432,45116.68359375
1,False,2,4,1,94260.4752,45116.68359375
1,False,1,0,0,34780.1568,56166.359375
1,False,1,1,1,48246.2904,56166.359375
1,False,1,2,1,62888.4732,56166.359375
1,False,1,3,1,76808.9352,56166.359375
1,False,1,4,1,82756.5648,56166.359375
1,False,2,0,0,47586.7416,56166.359375
1,False,2,1,1,61676.0628,56166.359375
1,False,2,2,1,75552.6216,56166.359375
1,False,2,3,1,87989.0388,56166.359375
1,False,2,4,1,94982.6832,56166.359375
1,False,1,0,0,34465.0224,57904.7734375
1,False,1,1,1,47583.0408,57904.7734375
